"","","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
"Country","Sex"," 2016"," 2015"," 2010"," 2005"," 2000"
"Afghanistan"," Both sexes","4.7","4.8","5.1","6.3","5.7"
"Afghanistan"," Male","7.6","7.8","8.6","10.8","10.0"
"Afghanistan"," Female","1.5","1.5","1.4","1.5","1.0"
"Albania"," Both sexes","6.3","6.0","7.8","6.7","5.5"
"Albania"," Male","7.9","7.6","9.5","7.7","7.4"
"Albania"," Female","4.7","4.4","6.1","5.7","3.5"
"Algeria"," Both sexes","3.2","3.2","3.3","3.8","4.1"
"Algeria"," Male","4.7","4.8","4.9","5.3","5.6"
"Algeria"," Female","1.7","1.7","1.8","2.2","2.5"
"Angola"," Both sexes","4.7","5.0","5.7","7.2","7.9"
"Angola"," Male","7.0","7.5","8.7","11.0","11.9"
"Angola"," Female","2.5","2.6","2.8","3.7","4.0"
"Antigua and Barbuda"," Both sexes","0.5","0.8","0.3","1.2","2.0"
"Antigua and Barbuda"," Male","0.0","0.0","0.5","2.4","4.2"
"Antigua and Barbuda"," Female","0.9","1.5","0.0","0.0","0.1"
"Argentina"," Both sexes","9.2","8.8","8.7","9.0","9.5"
"Argentina"," Male","15.1","14.5","14.3","14.4","15.6"
"Argentina"," Female","3.5","3.4","3.3","3.9","3.7"
"Armenia"," Both sexes","6.6","7.0","6.0","4.4","3.3"
"Armenia"," Male","10.8","11.5","10.1","7.4","5.5"
"Armenia"," Female","2.8","3.0","2.4","1.7","1.3"
"Australia"," Both sexes","13.2","13.8","12.5","12.3","13.2"
"Australia"," Male","19.5","20.4","18.6","18.6","20.4"
"Australia"," Female","7.0","7.2","6.3","6.0","6.1"
"Austria"," Both sexes","15.6","16.0","16.0","17.3","20.0"
"Austria"," Male","23.9","24.9","25.0","26.6","30.0"
"Austria"," Female","7.7","7.5","7.5","8.6","10.5"
"Azerbaijan"," Both sexes","2.6","2.7","3.1","3.2","2.2"
"Azerbaijan"," Male","4.2","4.3","5.0","5.2","3.5"
"Azerbaijan"," Female","1.1","1.1","1.2","1.3","0.9"
"Bahamas"," Both sexes","1.7","1.8","2.0","2.2","2.0"
"Bahamas"," Male","3.0","3.0","3.4","3.8","3.4"
"Bahamas"," Female","0.5","0.5","0.6","0.7","0.7"
"Bahrain"," Both sexes","5.9","5.9","5.2","7.0","6.7"
"Bahrain"," Male","8.4","8.3","6.9","9.9","9.4"
"Bahrain"," Female","1.9","2.0","2.4","2.7","3.1"
"Bangladesh"," Both sexes","5.9","6.1","6.4","6.3","6.7"
"Bangladesh"," Male","4.7","4.7","4.3","4.5","5.7"
"Bangladesh"," Female","7.0","7.4","8.5","8.2","7.7"
"Barbados"," Both sexes","0.8","0.7","2.1","3.7","2.1"
"Barbados"," Male","1.0","1.0","3.0","3.9","3.7"
"Barbados"," Female","0.5","0.5","1.3","3.4","0.6"
"Belarus"," Both sexes","26.2","26.3","38.2","45.1","43.1"
"Belarus"," Male","46.9","47.0","68.1","80.0","76.6"
"Belarus"," Female","8.2","8.3","12.3","14.5","13.5"
"Belgium"," Both sexes","20.7","20.1","21.3","21.2","22.7"
"Belgium"," Male","27.8","27.0","29.3","30.6","31.9"
"Belgium"," Female","13.8","13.4","13.6","12.1","14.0"
"Belize"," Both sexes","4.7","4.8","4.9","4.9","5.5"
"Belize"," Male","7.9","7.9","8.0","8.0","9.0"
"Belize"," Female","1.6","1.7","1.9","1.9","2.0"
"Benin"," Both sexes","9.9","9.9","9.6","9.7","9.5"
"Benin"," Male","13.9","13.9","13.4","13.5","13.2"
"Benin"," Female","5.9","6.0","5.9","6.1","6.0"
"Bhutan"," Both sexes","11.4","11.6","11.1","12.2","12.4"
"Bhutan"," Male","14.0","14.1","13.4","14.9","15.2"
"Bhutan"," Female","8.5","8.7","8.4","9.2","9.6"
"Bolivia (Plurinational State of)"," Both sexes","12.2","12.4","14.1","15.3","16.4"
"Bolivia (Plurinational State of)"," Male","15.8","15.9","17.7","19.2","20.0"
"Bolivia (Plurinational State of)"," Female","8.6","8.8","10.4","11.4","12.7"
"Bosnia and Herzegovina"," Both sexes","8.8","8.9","8.0","9.3","10.7"
"Bosnia and Herzegovina"," Male","14.1","14.3","12.9","15.0","17.3"
"Bosnia and Herzegovina"," Female","3.6","3.7","3.3","3.7","4.4"
"Botswana"," Both sexes","9.3","9.7","11.1","12.6","11.8"
"Botswana"," Male","14.2","14.8","17.1","20.4","19.7"
"Botswana"," Female","4.5","4.6","5.3","5.0","4.1"
"Brazil"," Both sexes","6.5","6.5","5.7","5.5","4.8"
"Brazil"," Male","10.0","9.9","8.7","8.5","7.6"
"Brazil"," Female","3.1","3.2","2.8","2.5","2.0"
"Brunei Darussalam"," Both sexes","4.6","4.5","3.7","3.3","2.8"
"Brunei Darussalam"," Male","6.4","6.2","5.3","4.8","4.1"
"Brunei Darussalam"," Female","2.7","2.6","2.0","1.7","1.4"
"Bulgaria"," Both sexes","11.5","11.4","12.5","13.4","18.5"
"Bulgaria"," Male","18.2","18.1","19.4","20.3","27.2"
"Bulgaria"," Female","5.1","5.1","6.0","6.7","10.2"
"Burkina Faso"," Both sexes","7.7","7.7","7.5","7.6","8.2"
"Burkina Faso"," Male","10.2","10.2","10.3","10.6","11.7"
"Burkina Faso"," Female","5.3","5.3","4.8","4.7","4.8"
"Burundi"," Both sexes","9.1","8.9","9.0","8.4","7.1"
"Burundi"," Male","13.4","13.1","12.9","11.5","9.4"
"Burundi"," Female","4.9","4.8","5.2","5.5","4.8"
"Cabo Verde"," Both sexes","11.3","11.0","11.1","10.1","9.4"
"Cabo Verde"," Male","16.5","16.1","15.7","14.2","13.3"
"Cabo Verde"," Female","6.1","6.1","6.6","6.1","5.7"
"Cambodia"," Both sexes","5.3","5.3","5.4","5.9","5.6"
"Cambodia"," Male","7.8","7.8","7.8","8.3","7.7"
"Cambodia"," Female","2.9","2.9","3.2","3.6","3.6"
"Cameroon"," Both sexes","12.2","12.3","11.7","11.9","13.3"
"Cameroon"," Male","17.1","17.3","16.4","16.4","17.9"
"Cameroon"," Female","7.4","7.3","6.9","7.3","8.8"
"Canada"," Both sexes","12.5","12.5","13.0","13.2","13.0"
"Canada"," Male","18.1","18.2","19.0","19.5","19.6"
"Canada"," Female","7.0","7.0","7.1","6.9","6.5"
"Central African Republic"," Both sexes","7.7","8.1","9.5","8.8","8.8"
"Central African Republic"," Male","11.5","11.9","13.9","13.0","12.9"
"Central African Republic"," Female","4.0","4.3","5.1","4.8","4.8"
"Chad"," Both sexes","8.8","8.9","8.7","8.5","8.0"
"Chad"," Male","10.3","10.2","9.5","9.2","8.8"
"Chad"," Female","7.4","7.5","7.9","7.8","7.2"
"Chile"," Both sexes","10.6","10.9","12.2","10.6","10.9"
"Chile"," Male","17.2","17.5","19.9","17.8","18.8"
"Chile"," Female","4.0","4.4","4.7","3.5","3.1"
"China"," Both sexes","9.7","9.6","10.9","11.7","13.2"
"China"," Male","9.1","8.9","9.3","10.1","11.2"
"China"," Female","10.3","10.3","12.5","13.4","15.4"
"Colombia"," Both sexes","7.2","8.3","7.2","6.7","7.6"
"Colombia"," Male","11.6","13.4","11.7","10.5","11.8"
"Colombia"," Female","2.8","3.3","2.7","3.0","3.5"
"Comoros"," Both sexes","6.8","6.8","6.6","6.5","5.1"
"Comoros"," Male","9.9","9.9","9.7","9.4","7.2"
"Comoros"," Female","3.6","3.6","3.4","3.6","2.9"
"Congo"," Both sexes","5.9","6.1","7.4","9.1","10.0"
"Congo"," Male","8.4","8.7","10.2","12.5","13.9"
"Congo"," Female","3.3","3.5","4.5","5.7","6.1"
"Costa Rica"," Both sexes","7.9","7.9","8.6","7.9","7.3"
"Costa Rica"," Male","13.5","13.4","14.7","13.3","12.8"
"Costa Rica"," Female","2.4","2.4","2.5","2.4","1.7"
"Côte d'Ivoire"," Both sexes","14.5","14.4","12.7","11.2","9.5"
"Côte d'Ivoire"," Male","20.6","20.5","18.3","16.3","13.7"
"Côte d'Ivoire"," Female","8.3","8.2","6.9","5.9","5.0"
"Croatia"," Both sexes","16.5","17.8","18.6","20.2","21.3"
"Croatia"," Male","25.6","26.8","28.4","31.1","33.0"
"Croatia"," Female","7.9","9.4","9.4","10.1","10.4"
"Cuba"," Both sexes","13.9","13.7","14.4","13.0","17.4"
"Cuba"," Male","22.1","21.8","22.7","19.4","24.7"
"Cuba"," Female","5.8","5.6","6.1","6.5","10.0"
"Cyprus"," Both sexes","5.3","4.9","5.7","2.6","2.2"
"Cyprus"," Male","8.2","7.3","8.7","3.7","2.8"
"Cyprus"," Female","2.3","2.5","2.7","1.5","1.6"
"Czechia"," Both sexes","13.1","13.7","15.4","16.5","17.0"
"Czechia"," Male","21.4","22.6","26.0","27.6","27.5"
"Czechia"," Female","5.1","5.0","5.2","6.0","7.0"
"Democratic People's Republic of Korea"," Both sexes","11.2","11.4","11.9","10.9","10.0"
"Democratic People's Republic of Korea"," Male","14.1","14.3","14.6","13.0","12.3"
"Democratic People's Republic of Korea"," Female","8.5","8.7","9.3","8.9","7.9"
"Democratic Republic of the Congo"," Both sexes","5.7","5.6","5.5","6.1","6.6"
"Democratic Republic of the Congo"," Male","8.4","8.3","8.2","8.9","9.4"
"Democratic Republic of the Congo"," Female","2.9","2.9","2.9","3.4","3.8"
"Denmark"," Both sexes","12.8","11.9","12.7","16.2","16.0"
"Denmark"," Male","17.3","15.5","16.8","21.0","22.9"
"Denmark"," Female","8.2","8.4","8.7","11.4","9.4"
"Djibouti"," Both sexes","6.7","6.4","5.2","5.9","5.8"
"Djibouti"," Male","9.0","8.6","6.8","7.5","7.3"
"Djibouti"," Female","4.3","4.1","3.5","4.3","4.3"
"Dominican Republic"," Both sexes","9.9","9.7","8.0","8.2","9.1"
"Dominican Republic"," Male","16.8","16.2","13.1","13.3","15.0"
"Dominican Republic"," Female","3.1","3.1","3.0","3.2","3.2"
"Ecuador"," Both sexes","7.1","9.6","8.5","8.9","6.1"
"Ecuador"," Male","10.3","14.3","12.3","12.7","8.4"
"Ecuador"," Female","3.9","4.9","4.8","5.1","3.7"
"Egypt"," Both sexes","4.0","3.8","3.6","3.4","3.3"
"Egypt"," Male","6.4","6.0","5.7","5.3","5.2"
"Egypt"," Female","1.5","1.5","1.5","1.5","1.3"
"El Salvador"," Both sexes","13.7","14.0","10.8","9.9","13.4"
"El Salvador"," Male","24.2","24.5","18.1","15.8","20.9"
"El Salvador"," Female","4.5","4.6","4.2","4.6","6.4"
"Equatorial Guinea"," Both sexes","16.4","16.5","16.7","13.7","15.5"
"Equatorial Guinea"," Male","23.5","23.8","24.9","20.4","24.4"
"Equatorial Guinea"," Female","7.7","7.6","7.0","6.1","6.0"
"Eritrea"," Both sexes","7.9","8.1","9.0","10.4","11.6"
